DEVICE_ID|DEVICE_HOSTNAME|DEVICE_IP_STRING|DEVICE_SOURCE_ID|DEVICE_SOURCE_OS_NAME|ORG_L1_ID|ORG_ID|ORG_SOURCE_ID|SOURCE_DEV_ID|SOURCE_DEV_CUST_DEVICE_NAME|SOURCE_DEV_MACHINE_HOST_NAME|SOURCE_DEV_MACHINE_PLATFORM|SOURCE_DEV_CUST_ID|SOURCE_DEV_STATUS|SOURCE_DEV_SERVICE_NAME|SOURCE_DEV_MANUFACTURER|SOURCE_DEV_SOFTWARE_VERSION|SOURCE_DEV_SENSOR_TYPE|SOURCE_DEV_PRIMARY_FUNCTION|SOURCE_DEV_PRIMARY_APPLICATION|SOURCE_DEV_IDS_CONFIG_TYPE|SOURCE_DEV_NETWORK_SEG_TYPE|SOURCE_DEV_INLINE_APPLIANCE_MODE|SOURCE_DEV_STACKED_FLAG|SOURCE_DEV_MANAGED_BY|SOURCE_DEV_MONITORED_BY|SOURCE_DEV_CLUSTER_FW_NAME|SOURCE_DEV_IDS_CONFIG_TYPE2|SOURCE_DEV_FW_TYPE_AND_VER|SOURCE_DEV_DEFAULT_GATEWAY|SOURCE_DEV_IP_EXT_STRING|SOURCE_DEV_OS_NAME|SOURCE_DEV_NLR_THRESHOLD|SOURCE_DEV_POLL_PERIOD|SOURCE_DEV_SITE_NAME|SOURCE_DEV_SITE_ID|SOURCE_DEV_DATA_RETENTION_PERIOD|SOURCE_DEV_INDEX_RETENTION_PERIOD|SOURCE_DEV_TIMEZONE|SOURCE_CUST_ID|SOURCE_CUST_NAME|SOURCE_CUST_PARTNER_ID|SOURCE_CUST_PARTNER_NAME|SOURCE_CUST_CATEGORY|SOURCE_CUST_INDUSTRY|SOURCE_CUST_REGULATED|SOURCE_CUST_MIDS|SOURCE_CUST_NUM_IDS|SOURCE_CUST_MPS|SOURCE_CUST_MFS|SOURCE_CUST_NUM_FW|SOURCE_CUST_SELM|SOURCE_CUST_VMS|SOURCE_CUST_NUM_EXT_IP|SOURCE_CUST_NUM_INT_IP|SOURCE_CUST_NUM_SCANNERS|SOURCE_CUST_LMS|SOURCE_CUST_EAM|SOURCE_CUST_NUM_DEVICES|SOURCE_CUST_THIRD_PARTY|SOURCE_CUST_SERVICE_NAME|SOURCE_CUST_SIA|SOURCE_CUST_SIA_NAME|SOURCE_CUST_PCI_DSS|SOURCE_CUST_HIPAA|SOURCE_CUST_GLBA|SOURCE_CUST_MRR|SOURCE_CUST_STATUS|INDUSTRY_ID|IND_SECTION_CD|IND_SECTION_NAME|IND_SECTION_SHORT_NAME|IND_DIVISION_CD|IND_DIVISION_NAME|IND_DIVISION_SHORT_NAME|CONS_DB_IP_STRING|CONS_DB_HOSTNAME|FW_DB_IP_STRING|FW_DB_HOSTNAME|LMS_AGG_IP_STRING|LMS_AGG_HOSTNAME
|bdc-extra088|192.44.123.41|SA0000000726401|windows nt|8578|8578|CIDD706225|SA0000000726401|bdc-extra088|bdc-extra088|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra088|192.44.123.41|SA0000000726858|windows nt|8578|8578|CIDD706225|SA0000000726858|bdc-extra088|bdc-extra088|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra089|192.44.123.42|S00000007019622||8578|8578|CIDD706225|S00000007019622|bdc-extra089|bdc-extra089|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra089|192.44.123.42|SA0000000726402|windows nt|8578|8578|CIDD706225|SA0000000726402|bdc-extra089|bdc-extra089|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra089|192.44.123.42|SA0000000726859|other|8578|8578|CIDD706225|SA0000000726859|bdc-extra089|bdc-extra089|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra090|192.44.123.39|S00000007019623||8578|8578|CIDD706225|S00000007019623|bdc-extra090|bdc-extra090|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra090|192.44.123.39|SA0000000726400|windows nt|8578|8578|CIDD706225|SA0000000726400|bdc-extra090|bdc-extra090|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra090|192.44.123.39|SA0000000726857|other|8578|8578|CIDD706225|SA0000000726857|bdc-extra090|bdc-extra090|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra091|192.44.123.49|S00000007019624||8578|8578|CIDD706225|S00000007019624|bdc-extra091|bdc-extra091|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra091||SA0000000726212|windows nt|8578|8578|CIDD706225|SA0000000726212|bdc-extra091|bdc-extra091|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra091|192.44.123.49|SA0000000726865|other|8578|8578|CIDD706225|SA0000000726865|bdc-extra091|bdc-extra091|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra092|192.44.123.50|SA0000000726200|windows nt|8578|8578|CIDD706225|SA0000000726200|bdc-extra092|bdc-extra092|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra094|192.44.123.96|S00000007019625||8578|8578|CIDD706225|S00000007019625|bdc-extra094|bdc-extra094|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra094|192.44.123.96|SA0000000726697|windows nt|8578|8578|CIDD706225|SA0000000726697|bdc-extra094|bdc-extra094|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra096|192.44.123.105|P00000008033734|windows 2003|8578|8578|CIDD706225|P00000008033734|bdc-extra096|bdc-extra096|Generic IBM Server|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra100|192.44.123.110|S00000700020526|windows 2003|8578|8578|CIDD706225|S00000700020526|bdc-extra100.internal.pg.com|bdc-extra100|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra101|192.44.123.111|S00000700020504|windows 2003|8578|8578|CIDD706225|S00000700020504|bdc-extra101.na.pg.com|bdc-extra101|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra102|192.44.123.122|S00000700020505|windows 2003|8578|8578|CIDD706225|S00000700020505|bdc-extra102.extad.pg.com|bdc-extra102|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra106|192.44.123.156|P00000008033735|windows 2003|8578|8578|CIDD706225|P00000008033735|bdc-extra106|bdc-extra106|Generic IBM Server|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra107|192.44.123.201|SA0000000743999|windows 2003|8578|8578|CIDD706225|SA0000000743999|bdc-extra107|bdc-extra107|Generic HP Server|CIDD706225|deployment_in_progress|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra108|192.44.123.202|P00000008019847|windows 2000 server|8578|8578|CIDD706225|P00000008019847|bdc-extra108|bdc-extra108|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra109|192.44.123.204|P00000008019856|windows 2000 server|8578|8578|CIDD706225|P00000008019856|bdc-extra109|bdc-extra109|Generic Intel|CIDD706225|deployment_complete|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra110|192.44.123.205|P00000008019855|windows 2000 server|8578|8578|CIDD706225|P00000008019855|bdc-extra110|bdc-extra110|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra115|192.44.123.45|P00000008033736|windows 2003|8578|8578|CIDD706225|P00000008033736|bdc-extra115|bdc-extra115|Generic IBM Server|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra116|192.44.123.37|P00000008033737|windows 2003|8578|8578|CIDD706225|P00000008033737|bdc-extra116|bdc-extra116|Generic IBM Server|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra118|192.44.123.18|P00000008033738|windows 2003|8578|8578|CIDD706225|P00000008033738|bdc-extra118|bdc-extra118|Generic IBM Server|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-extra051|192.44.122.96|D00000008006217|windows nt|8578|8578|CIDD706225|D00000008006217|bdc-extra051|bdc-extra051|Intel 450 Mhz|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fastd001|143.22.208.64|S00000007019626|windows nt|8578|8578|CIDD706225|S00000007019626|bdc-fastd001|bdc-fastd001|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fastd001|143.22.208.64|SA0000000726368|windows nt|8578|8578|CIDD706225|SA0000000726368|bdc-fastd001|bdc-fastd001|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fastd001|143.22.208.64|SA0000000726993|windows nt|8578|8578|CIDD706225|SA0000000726993|bdc-fastd001|bdc-fastd001|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fastp001|143.22.208.66|S00000007019627|windows nt|8578|8578|CIDD706225|S00000007019627|bdc-fastp001|bdc-fastp001|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fastp001|143.22.208.66|SA0000000726369|windows nt|8578|8578|CIDD706225|SA0000000726369|bdc-fastp001|bdc-fastp001|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fastp001|143.22.208.66|SA0000000726994|windows nt|8578|8578|CIDD706225|SA0000000726994|bdc-fastp001|bdc-fastp001|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fastp002|143.5.243.111|SA0000000726404|windows nt|8578|8578|CIDD706225|SA0000000726404|bdc-fastp002|bdc-fastp002|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fastp003|143.5.243.112|SA0000000726409|windows 2003|8578|8578|CIDD706225|SA0000000726409|bdc-fastp003|bdc-fastp003|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fastq001|143.22.208.69|S00000007019628|windows nt|8578|8578|CIDD706225|S00000007019628|bdc-fastq001|bdc-fastq001|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fastq001|143.22.208.69|SA0000000726370|windows nt|8578|8578|CIDD706225|SA0000000726370|bdc-fastq001|bdc-fastq001|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fastq001|143.22.208.69|SA0000000726995|windows nt|8578|8578|CIDD706225|SA0000000726995|bdc-fastq001|bdc-fastq001|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-femcad001|143.5.20.15|D00000008006226|windows nt|8578|8578|CIDD706225|D00000008006226|bdc-femcad001|bdc-femcad001|Intel 450 Mhz|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-femcad001|143.5.20.15|S00000007019629|windows 2003|8578|8578|CIDD706225|S00000007019629|bdc-femcad001|bdc-femcad001|Generic Intel|CIDD706225|inactive|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-femcad001|143.5.20.15|SA0000000727120|windows 2003|8578|8578|CIDD706225|SA0000000727120|bdc-femcad001|bdc-femcad001|Generic Intel|CIDD706225|deployment_in_progress|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fhcsas01|143.22.209.211|S00000700020481|windows 2003|8578|8578|CIDD706225|S00000700020481|bdc-fhcsas01.na.pg.com|bdc-fhcsas01|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fiperdvacs1|192.44.195.111|P00000008033751|windows 2003|8578|8578|CIDD706225|P00000008033751|bdc-fiperdvacs1|bdc-fiperdvacs1|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fiperpdacs1|192.44.195.112|P00000008033752|windows 2003|8578|8578|CIDD706225|P00000008033752|bdc-fiperpdacs1|bdc-fiperpdacs1|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fiperpdst1|192.44.195.65|P00000008033771|windows 2003|8578|8578|CIDD706225|P00000008033771|bdc-fiperpdst1|bdc-fiperpdst1|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-fsdc|10.40.101.23|SA0000000719491|windows 2000 server|8578|8578|CIDS705362|SA0000000719491|bdc-fsdc|bdc-fsdc|Generic Intel|CIDS705362|deployment_in_progress||||||||||||||||||||||||||CIDS705362|Rexel, Inc.|CID001826|Direct|managed_service|50: wholesale trade - durable goods|yes|yes||yes|yes||unk|unk||||unk||||||||||9937.2|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
|bdc-gaim001|143.5.20.91|D00000008010973|windows nt|8578|8578|CIDD706225|D00000008010973|bdc-gaim001|bdc-gaim001|Generic Intel|CIDD706225|active|mps server select|||||||||||||||||||||||||CIDD706225|Procter & Gamble Co.|CID001826|Direct|managed_service|51: wholesale trade - nondurable goods|yes|yes||yes|unk||yes|yes||148000||yes||||||||||105716.19|active|11|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|46|wholesale trade, except of motor vehicles and motorcycles|wholesale trade||||||
